GSM5491537	GSM5491538	GSM5491539	GSM5491540	GSM5491541	GSM5491542	GSM5491543	GSM5491544	GSM5491545	GSM5491546	GSM5491547	GSM5491548	GSM5491549	GSM5491550	GSM5491551	GSM5491552	GSM5491553	GSM5491554	GSM5491555	GSM5491556	GSM5491557	GSM5491558	GSM5491559	GSM5491560	GSM5491561	GSM5491562	GSM5491563	GSM5491564	GSM5491565
100287102	5	5	5	4	5	8	3	4	3	3	6	4	11	13	12	9	15	15	15	12	14	11	12	15	12	15	12	13	15
653635	217	196	174	202	189	186	403	479	432	417	347	457	383	364	309	313	435	436	553	481	536	480	492	479	476	609	570	594	615
102466751	3	2	0	3	1	0	2	1	1	1	1	2	1	1	1	1	0	0	8	2	3	3	2	0	1	2	1	2	2
107985730	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
100302278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	4	4	3	5	6	7	24	31	32	28	20	20	22	22	23	20	30	39	41	27	31	23	27	27	22	26	29	21	19
729737	24	21	15	22	20	19	5	9	11	11	7	12	32	24	25	28	44	37	37	17	31	19	17	17	5	16	13	9	19
102725121	5	5	6	3	9	7	2	2	2	1	3	2	14	18	14	9	16	19	15	14	18	16	12	14	10	16	14	16	16
102723897	225	208	189	207	185	201	403	470	418	410	344	450	354	366	315	324	449	443	560	489	556	501	498	514	519	612	550	618	630
102465909	3	2	0	2	1	1	2	1	1	1	1	2	1	1	1	1	0	0	9	2	3	3	3	0	1	2	1	2	3
107985721	2	0	1	2	0	1	0	1	1	2	1	2	1	1	0	0	1	1	1	1	0	0	1	0	0	2	0	2	1
112268260	6	5	9	6	9	9	16	17	9	17	8	10	5	5	5	5	10	9	24	22	29	15	19	26	18	16	18	21	21
729759	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0
100132287	29	20	20	25	27	23	7	13	14	15	8	15	39	36	26	31	51	48	43	21	37	27	17	21	8	17	20	11	20
105378947	3	0	3	2	4	5	2	5	2	3	2	3	1	1	1	1	1	1	4	8	8	5	10	6	5	5	5	6	6
101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
113219467	7982	6981	8384	5305	10337	7954	9813	15255	16450	11237	11952	14068	3220	3036	3290	6235	5809	7442	16154	9735	17803	5713	8943	6657	7284	11013	6557	2583	11369
81399	0	1	1	1	1	1	1	2	1	1	0	2	1	2	1	1	1	2	2	2	1	1	3	2	2	1	3	1	1
100133331	31	21	22	22	25	26	10	16	17	16	14	13	49	41	34	39	58	60	56	24	36	28	23	21	9	27	26	19	26
107984841	3	2	3	2	3	2	2	3	3	2	3	2	6	5	4	5	9	7	7	5	6	3	4	2	1	1	3	2	5
107984847	5	8	4	3	2	3	1	6	4	2	3	7	7	8	8	5	12	8	7	4	7	4	5	4	4	3	3	3	5
107984849	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	1	0	1	0
100288069	7	4	5	8	4	7	7	9	10	7	7	7	8	6	10	9	13	13	21	13	22	11	10	16	10	17	13	11	13
105378580	24	28	25	19	23	27	18	29	13	16	17	15	34	36	32	33	50	44	33	19	32	19	21	26	27	29	24	25	34
400728	4	3	4	2	9	9	8	4	18	6	7	6	14	17	16	10	24	24	21	10	28	22	8	6	19	12	7	7	17
79854	85	52	58	61	59	56	38	55	63	73	36	60	43	22	45	36	50	66	41	30	31	29	25	27	25	34	35	36	33
643837	905	803	929	730	1016	972	413	588	625	481	606	654	719	705	686	702	914	959	512	408	541	464	511	521	374	531	686	544	737
107984850	3	0	1	0	0	0	0	0	1	0	2	1	1	0	0	2	2	1	1	0	2	2	0	1	2	2	0	1	2
284593	6	5	4	5	6	5	3	4	5	5	4	5	3	3	6	5	5	5	14	12	15	6	10	8	20	17	15	11	17
284600	94	67	92	104	73	81	7	17	10	11	3	17	1	6	5	1	3	3	21	9	24	11	11	13	25	33	17	25	31
100130417	10	4	8	5	6	12	16	14	12	22	6	23	10	14	7	7	11	9	2	7	4	5	5	16	2	3	10	10	6
107985728	0	0	0	0	0	0	21	27	23	25	10	16	13	15	16	15	27	15	10	7	7	5	9	1	3	1	8	7	4
148398	628	546	539	456	569	544	338	400	312	319	331	358	667	599	640	564	697	717	253	263	308	356	385	346	303	377	494	400	459
26155	11157	10187	9846	9279	10326	10207	6109	7596	5598	5682	5759	7627	9820	9704	8801	7948	10278	10748	5114	5295	5882	7068	8304	7720	6121	7568	8740	8398	9134
339451	303	268	238	263	258	298	200	253	255	237	211	260	362	300	246	303	368	388	274	213	268	278	257	269	176	276	309	290	295
84069	0	0	2	0	0	0	5	9	2	5	2	4	743	684	538	540	759	723	9	3	19	8	15	7	1	15	10	3	10
84808	0	0	0	0	0	0	2	0	2	1	2	2	83	86	77	84	91	99	6	1	1	3	1	2	0	7	4	2	1
57801	146	122	119	96	80	63	194	276	217	237	197	280	3530	3571	2822	2503	4421	3878	74	69	77	75	67	74	181	207	154	172	143
9636	349	345	304	328	334	357	883	1080	882	924	724	1154	101484	99242	82439	71519	117319	96858	1296	897	994	1062	766	889	933	1008	763	957	799
375790	11164	9801	9902	10485	9888	10452	5917	7866	7046	7487	5298	7380	36828	34162	28877	23926	37481	35056	6196	5170	6552	8078	9938	9071	8229	15253	21657	21485	21227
100288175	1	0	3	4	3	4	12	13	7	7	7	16	250	226	226	231	304	344	24	30	34	17	18	16	39	53	51	29	54
112267874	0	0	0	1	0	0	1	1	1	1	1	0	22	14	12	20	25	27	1	1	0	0	2	0	2	0	1	0	1
105378948	1	0	3	3	2	3	9	11	6	4	6	14	189	177	182	172	236	282	22	26	26	13	19	15	33	46	37	25	42
401934	1	1	0	2	2	1	0	0	0	0	0	0	10	8	9	28	33	30	0	1	0	0	0	0	0	0	2	0	0
54991	915	770	821	765	826	858	590	707	528	590	605	744	783	718	687	601	847	846	674	631	783	696	645	707	786	967	850	1007	1015
254099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
406984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
554210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100506376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
254173	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
8784	0	2	0	0	0	0	0	1	0	2	1	1	0	2	1	1	2	2	3	3	0	6	1	1	0	1	1	2	3
7293	3	2	2	1	6	0	5	6	3	5	6	14	2	2	1	1	4	4	5	0	0	0	4	2	0	1	2	2	2
51150	7349	6836	6792	6788	6811	6831	10725	13328	11424	11698	9226	12224	11842	11694	10256	8846	12327	12411	9204	10268	11364	11104	11149	10920	12525	14074	14233	14527	14745
126792	3537	3056	3593	3112	3421	3370	1258	1569	1272	1278	1222	1393	1996	2071	1834	1780	2151	2327	1956	2063	2472	2217	2471	2414	2544	3013	3405	3329	3788
388581	6	2	4	2	3	6	4	2	0	1	0	3	15	11	12	11	26	20	2	3	1	2	4	6	4	3	4	14	7
118424	5242	4843	4971	4194	4905	4790	3632	4538	3514	3718	3878	4762	4056	3987	3963	3528	4498	5011	2916	2934	3411	2999	3231	3048	4111	4453	4450	4622	4680
101928895	16	12	13	22	12	11	5	2	3	4	1	8	13	3	7	5	13	12	9	10	10	6	3	8	5	8	5	11	15
6339	60	39	38	41	27	47	7	11	15	13	13	11	25	20	13	19	26	16	33	21	42	25	25	26	17	48	28	74	50
116983	8881	7846	7600	7467	8368	8365	1148	1398	1692	1715	1148	1564	1563	1539	1356	1277	1761	1750	1546	1325	1668	1996	2126	1871	4553	6103	6448	6557	6634
102465434	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
109623456	6	8	8	7	5	7	1	2	2	2	1	1	2	1	2	1	1	1	5	1	3	1	3	4	0	2	6	1	5
126789	1850	1505	1599	1594	1533	1609	989	1257	1091	1115	1045	1412	1416	1423	1173	1159	1566	1473	745	777	892	843	939	862	1544	1735	1475	1607	1500
54973	2520	2193	2101	2034	2304	2244	3527	4757	3602	3910	3357	4628	5301	5200	4565	4115	5347	5419	2911	3315	3559	3631	4103	3894	4262	4830	5103	5058	5233
102465435	16	11	12	8	12	12	0	1	3	0	2	0	1	3	0	1	2	1	4	2	3	0	2	1	0	4	2	2	3
80772	1122	964	983	1007	1035	1029	1203	1570	1286	1343	1065	1506	2262	2165	1818	1736	2275	2286	779	787	980	979	993	935	1012	1293	1384	1456	1446
83756	32	32	21	25	30	25	23	29	22	44	19	25	61	53	65	44	73	64	21	19	31	17	13	16	11	17	37	33	49
1855	3358	3073	3080	3167	2877	3051	1517	1822	1599	1750	1475	1947	4124	3887	3355	3091	4225	4336	1124	1068	1193	1397	1547	1430	1730	2401	2498	2624	2608
102466740	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
54587	41	36	38	32	41	35	9	27	35	24	19	43	6456	6398	5538	5061	6590	6764	100	63	88	67	46	53	42	65	81	66	106
54998	5156	4808	4700	4647	4945	4826	5376	6611	4812	5363	4724	6728	6627	6667	5730	5057	7050	6951	4161	4176	4718	4166	4357	4272	6004	6427	5143	6080	5249
81669	1729	1427	1568	1281	1556	1469	817	1002	1030	746	823	799	1098	1053	1070	1197	1466	1518	2975	1925	2574	1628	1618	1501	1882	2644	2024	2074	2783
148413	900	881	861	661	925	901	968	1171	1034	977	879	1059	748	755	699	692	828	844	894	944	1024	868	954	927	1138	1262	1191	1253	1487
55052	6138	5451	5625	4770	5541	5212	3932	4982	3812	3619	3870	4814	3926	3947	3776	3373	4052	4413	5585	5657	6333	4963	5077	4979	6900	7253	5875	6247	6560
107984868	0	3	1	2	0	0	40	45	68	59	57	61	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
441869	4	11	9	12	15	14	332	389	515	548	399	469	1	0	2	1	2	3	0	3	1	2	0	1	4	10	8	11	7
105378585	2	2	3	0	3	2	10	9	24	18	9	23	0	0	0	1	2	0	0	0	2	0	1	2	3	2	0	1	1
